Pr,Ra,Nu
0.021,1000000000,37.43
0.05,1000000000,41.51
0.1,1000000000,42.72
0.2,1000000000,45.98
0.35,1000000000,48.1
0.5,1000000000,48.64
0.7,1000000000,49.22
1,1000000000,50.87
2,1000000000,51.09
4.38,1000000000,52.67
7,1000000000,52.27
20,1000000000,53.41
50,1000000000,52.12
0.021,500000,5.2
0.021,1000000,6.3
0.021,10000000,10.8
0.021,100000000,19.6
0.021,1000000000,35.4
0.021,10000000,10.97
0.021,20000000,13.04
0.021,30000000,14.42
0.021,50000000,16.58
0.021,100000000,19.68
0.021,400000000,28.32
0.05,10000000,12.41
0.05,20000000,14.52
0.05,30000000,16.06
0.05,100000000,21.64
0.05,300000000,29.27
0.05,500000000,33.5
0.1,1000000,5.91
0.1,2000000,7.05
0.1,3000000,7.88
0.1,6000000,10.04
0.1,10000000,11.77
0.1,20000000,15.35
0.1,30000000,17.5
0.1,100000000,23.01
0.1,300000000,31.06
0.1,3000000000,59.15
0.1,10000000000,84.74
1,3000000,6.01
1,6000000,7.11
1,8000000,8.18
1,9000000,8.64
1,10000000,9.03
1,15000000,13.33
1,20000000,14.75
1,30000000,17.27
1,60000000,21.48
1,100000000,25.01
1,300000000,35.61
1,600000000,44.15
1,3000000000,67.51
1,10000000000,94.52
1,30000000000,130.2
1,100000000000,183.3
1,300000000000,262.3
1,1000000000000,394.2
